property_type,district,price_vnd,area_clean,price_per_m2_clean,bedrooms,bathrooms,floors,frontage,acces_road,legal_status,furniture_state,seller_type
"Q7 Riverside gồm 2PN2WC/ 67m2/ 3.69 tỷ có HĐMB, hỗ trợ vay 70%, giá tốt0932 139 ***",Phú Thuận,3690000000.0,67.0,55074626.87,2.0,2.0,0.0,0.0,0.0,HĐMB,Tặng bộ nội thất bếp cao cấp thương hiệu Malloca của Châu Âu.,Nguyễn Lê Yến Nhi
Em Hiệp chuyên bán căn hộ Eaton Park. Giỏ độc quyền cắt lỗ - sang nhượng - hàng chủ đầu tư,Bình Trưng,9300000000.0,75.0,124000000.0,2.0,1.0,0.0,0.0,0.0,Hợp đồng mua bán,Cơ bản.,Võ Văn Hiệp
Nhà 5 tầng giá 6.6 tỷ trung tâm Quận 10,Hòa Hưng,6600000000.0,36.3,181818181.82,4.0,4.0,5.0,5.3,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Anh Vũ
"Bán biệt thự cao cấp đô thị Vinhomes Saigon Park, ưu đãi gốc lãi 5 năm, không lo lãi suất biến động",Xuân Thới Sơn,5000000000.0,60.0,83333333.33,5.0,4.0,3.0,5.0,10.0,Sổ đỏ/ Sổ hồng.,Cơ bản,Nguyễn Tấn Hiếu
"Mở bán dự án The Peak Garden - Nguyễn Lương Bằng Quận 7. Khu compound cao cấp, liền kề Phú Mỹ Hưng",Tân Mỹ,5200000000.0,65.0,80000000.0,2.0,2.0,0.0,0.0,0.0,Hợp đồng mua bán,Cơ bản,Trang Trần
"Bán NR 120/8C Số 10, Bình Hưng Hòa B, Q.Bình Tân, 6,5 tỷ, 67m2, giá cực chất",Bình Tân,6500000000.0,67.0,97014925.37,4.0,5.0,4.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Không nội thất,Bảo
Masteri Thảo Điền - cập nhật giỏ hàng bán mới nhất và giá tốt nhất thị trường. Hương:0937 886 ***,An Khánh,8300000000.0,71.0,116901408.45,2.0,2.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ,Goldenland
"Căn Hộ TOD Cạnh Metro Số 1 Chỉ Từ 1,79 Tỷ Vào Nhà Với 179tr - Trả góp 6 triệu/tháng, TT 10% ký HĐMB",Tân Đông Hiệp,1790000000.0,50.0,35800000.0,2.0,1.0,0.0,0.0,0.0,Hợp đồng mua bán,Không rõ,Tân Bùi
Bán căn hộ CC The River Thủ Thiêm (1PN-11.5tỷ) (2PN-17tỷ) (3PN-28tỷ) (4PN-60tỷ) (Pent-100tỷ),An Khánh,11500000000.0,64.0,179687500.0,1.0,1.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,Đại Realtor
Tấn Trường: Cập nhật giỏ hàng mới nhất The River - T5/2026 - đa dạng sản phẩm,An Khánh,25500000000.0,135.0,188888888.89,3.0,3.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,Nguyễn Tấn Trường
"Q7 Riverside 2PN cần giá bán 3,7 tỷ. Có hợp đồng mua bán.0704 589 ***",Phú Thuận,3700000000.0,68.0,54411764.71,2.0,2.0,0.0,0.0,0.0,HĐMB,Cơ bản,Minh Thư
"Vinhomes Hóc Môn cho vay miễn lãi 5 năm - mua nhà bằng vàng, giữ vàng bằng nhà + lãi 10%",Xuân Thới Sơn,7200000000.0,80.0,90000000.0,0.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Phòng Kinh Doanh - Cđt
"Căn hộ 3PN - 2WC sẵn sổ hồng, hỗ trợ lãi suất cố định 5%/năm trong 48 tháng",Dĩ An,4280000000.0,104.0,41153846.15,3.0,2.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng.,Cơ bản.,Công Ty Cổ Phần Địa Ốc Phú Đông
"Chính chủ gửi bán lỗ nhà phố Vinhomes Grand Park trục dưỡng sinh, 23,9 tỷ, 144 m2, sổ hồng",Long Bình,23900000000.0,144.0,165972222.22,0.0,0.0,5.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Không rõ,Lê Anh Thương
"Bán nhà phố Bình Lợi - Bình Thạnh, 5 x 18m, hẻm xe hơi 12m, sổ hồng 90m2, 5PN, thu nhập 25tr/tháng",Bình Lợi Trung,15000000000.0,90.0,166666666.67,5.0,6.0,3.0,5.0,12.0,Sổ hồng,Không nội thất,Duy Pham
CHỈ 600 TRIỆU 2 NĂM ĐẦU SỞ HỮU CĂN HỘ CAPITALAND NGAY TẠI TRUNG TÂM THÀNH PHỐ MỚI BÌNH DƯƠNG,Bình Dương,6000000000.0,101.0,59405940.59,2.0,2.0,0.0,0.0,0.0,Không rõ,Không rõ,Hà Trần
"Bán căn hộ La Pura mặt tiền Quốc Lộ 13, căn 2PN giá 3.19 tỷ, thanh toán 11% nhận nhà, tặng vàng SJC",Bình Hòa,3190000000.0,66.0,48333333.33,2.0,2.0,0.0,0.0,0.0,Hợp đồng mua bán.,Cơ bản.,Tuấn Nc Land
"Quỹ căn đẹp nhất độc quyền giá CĐT, chỉ từ: 8 tỷ, CK 23%: NP, BT, shophouse biển. LH:0933 600 ***",Cần Giờ,18800000000.0,220.0,85454545.45,0.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Nguyễn Thị Mai Hương
"Bán nhà mặt tiền đường Dương Thị Mười, Quận 12. Có ngay hợp đồng thuê 22tr/tháng",Trung Mỹ Tây,14000000000.0,132.0,106060606.06,2.0,2.0,1.0,5.0,0.0,Sổ đỏ/ Sổ hồng,Không rõ,Ms Huong
CẦN BÁN CĂN GÓC 2PN DIỆN TÍCH 80M2. VIEW ĐÔNG BẮC VÀ ĐÔNG NAM ĐẸP NHẤT DỰ ÁN,Nhà Bè,6000000000.0,80.0,75000000.0,2.0,2.0,0.0,0.0,0.0,Hợp đồng mua bán,Cơ bản,Nguyễn Thi Tường Vi
"CHÍNH CHỦ BÁN NHÀ ĐẸP MTKD ĐA NGÀNH  SỐ 7 HỒNG LẠC, GẦN LẠC LONG QUÂN  CHỈ 11.8 TỶ",Bảy Hiền,11800000000.0,60.0,196666666.67,0.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Vũ Phương
